engine,accounts,threads,run,tps
LEAP-base,2,4,0,17614
LEAP,2,4,0,15087
LEAP-base,2,4,1,18156
LEAP,2,4,1,15640
LEAP-base,2,4,2,18174
LEAP,2,4,2,16451
LEAP-base,2,8,0,14448
LEAP,2,8,0,10450
LEAP-base,2,8,1,14903
LEAP,2,8,1,10688
LEAP-base,2,8,2,14257
LEAP,2,8,2,10726
LEAP-base,2,16,0,8827
LEAP,2,16,0,8094
LEAP-base,2,16,1,8824
LEAP,2,16,1,8167
LEAP-base,2,16,2,8621
LEAP,2,16,2,8102
LEAP-base,10,4,0,33970
LEAP,10,4,0,17345
LEAP-base,10,4,1,33429
LEAP,10,4,1,17129
LEAP-base,10,4,2,33423
LEAP,10,4,2,17370
LEAP-base,10,8,0,23005
LEAP,10,8,0,12270
LEAP-base,10,8,1,23107
LEAP,10,8,1,12363
LEAP-base,10,8,2,23192
LEAP,10,8,2,12312
LEAP-base,10,16,0,18547
LEAP,10,16,0,11046
LEAP-base,10,16,1,18663
LEAP,10,16,1,10753
LEAP-base,10,16,2,18613
LEAP,10,16,2,10891
LEAP-base,100,4,0,37515
LEAP,100,4,0,32488
LEAP-base,100,4,1,36792
LEAP,100,4,1,32596
LEAP-base,100,4,2,37334
LEAP,100,4,2,31985
LEAP-base,100,8,0,67784
LEAP,100,8,0,39878
LEAP-base,100,8,1,67257
LEAP,100,8,1,40848
LEAP-base,100,8,2,69240
LEAP,100,8,2,39693
LEAP-base,100,16,0,89026
LEAP,100,16,0,43860
LEAP-base,100,16,1,82723
LEAP,100,16,1,43366
LEAP-base,100,16,2,99179
LEAP,100,16,2,41832
LEAP-base,1000,4,0,37054
LEAP,1000,4,0,35908
LEAP-base,1000,4,1,37130
LEAP,1000,4,1,34512
LEAP-base,1000,4,2,37718
LEAP,1000,4,2,35366
LEAP-base,1000,8,0,71342
LEAP,1000,8,0,54823
LEAP-base,1000,8,1,70991
LEAP,1000,8,1,57738
LEAP-base,1000,8,2,69178
LEAP,1000,8,2,50690
LEAP-base,1000,16,0,117402
LEAP,1000,16,0,74401
LEAP-base,1000,16,1,117853
LEAP,1000,16,1,75662
LEAP-base,1000,16,2,117506
LEAP,1000,16,2,76579
LEAP-base,10000,4,0,37036
LEAP,10000,4,0,37274
LEAP-base,10000,4,1,36905
LEAP,10000,4,1,37046
LEAP-base,10000,4,2,37479
LEAP,10000,4,2,37090
LEAP-base,10000,8,0,67088
LEAP,10000,8,0,63894
LEAP-base,10000,8,1,70261
LEAP,10000,8,1,64786
LEAP-base,10000,8,2,71276
LEAP,10000,8,2,69050
LEAP-base,10000,16,0,117775
LEAP,10000,16,0,107480
LEAP-base,10000,16,1,118039
LEAP,10000,16,1,108132
LEAP-base,10000,16,2,117226
LEAP,10000,16,2,108186
