nodes,quorum,k,committed_blocks,committed_txns,time_s,tps
4,3,1,28,280000,12.004853,23324
4,3,2,28,560000,12.005506,46645
4,3,4,28,1120000,12.005943,93287
4,3,8,28,2240000,12.005858,186576
4,3,16,28,4480000,12.006606,373128
10,7,1,28,280000,12.005591,23322
10,7,2,28,560000,12.005681,46645
10,7,4,28,1120000,12.006303,93284
10,7,8,28,2240000,12.006574,186564
10,7,16,28,4480000,12.007351,373105
20,14,1,28,280000,12.006475,23321
20,14,2,28,560000,12.006987,46640
20,14,4,28,1120000,12.006920,93280
20,14,8,28,2240000,12.007566,186549
20,14,16,28,4480000,12.009884,373026
