experiment,system,variable,nodes,workers,rate,run,stablecoin_tps,stablecoin_latency_ms,success_rate,total_txns,successful_txns,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,with_exec_tps,with_exec_bps,with_exec_latency_ms,duration_s
Exp-Threads,MP3+LEAP,H90%@100K_2T,4,1,100000,1,91306.0,872.0,1.0,5481173.0,5481173.0,92603.0,47412849.0,576.0,92329.0,47272631.0,712.0,91670.0,46935175.0,736.0,60.0
Exp-Threads,MP3+LEAP,H90%@100K_2T,4,1,100000,2,84744.0,870.0,1.0,5085738.0,5085738.0,85220.0,43632803.0,621.0,85007.0,43523522.0,756.0,85047.0,43543880.0,736.0,60.0
Exp-Threads,Tusk+LeapBase,H90%@100K_2T,4,1,100000,1,82272.0,5728.0,1.0,4937777.0,4937777.0,90551.0,46362265.0,1465.0,90289.0,46227770.0,1602.0,86461.0,44268202.0,5594.0,60.0
Exp-Threads,Tusk+LeapBase,H90%@100K_2T,4,1,100000,2,85936.0,1285.0,1.0,5159680.0,5159680.0,88341.0,45230347.0,785.0,88087.0,45100383.0,921.0,87192.0,44642417.0,1150.0,60.0
Exp-Threads,MP3+LEAP,H90%@100K_4T,4,1,100000,1,24888.0,7249.0,1.0,976424.0,976424.0,90455.0,46313194.0,553.0,90194.0,46179464.0,695.0,50352.0,25780253.0,7128.0,60.0
Exp-Threads,MP3+LEAP,H90%@100K_4T,4,1,100000,2,38108.0,8629.0,1.0,2284598.0,2284598.0,89713.0,45933054.0,573.0,89457.0,45802198.0,712.0,60061.0,30751475.0,8513.0,60.0
Exp-Threads,Tusk+LeapBase,H90%@100K_4T,4,1,100000,1,44033.0,13816.0,1.0,2639527.0,2639527.0,90838.0,46509177.0,780.0,90578.0,46375772.0,922.0,44655.0,22863366.0,13717.0,60.0
Exp-Threads,Tusk+LeapBase,H90%@100K_4T,4,1,100000,2,45124.0,13113.0,1.0,2708862.0,2708862.0,90069.0,46115161.0,800.0,89807.0,45981139.0,941.0,47526.0,24333344.0,12996.0,60.0
Exp-Threads,MP3+LEAP,H90%@100K_8T,4,1,100000,1,18681.0,23317.0,1.0,1116795.0,1116795.0,90777.0,46477624.0,536.0,90518.0,46345141.0,679.0,19192.0,9826413.0,23240.0,60.0
Exp-Threads,MP3+LEAP,H90%@100K_8T,4,1,100000,2,14530.0,23517.0,1.0,870486.0,870486.0,92165.0,47188280.0,535.0,91899.0,47052095.0,681.0,18121.0,9277984.0,23458.0,60.0
Exp-Threads,Tusk+LeapBase,H90%@100K_8T,4,1,100000,1,12109.0,25811.0,1.0,720851.0,720851.0,92518.0,47369243.0,792.0,92274.0,47244298.0,939.0,12226.0,6259856.0,25758.0,60.0
Exp-Threads,Tusk+LeapBase,H90%@100K_8T,4,1,100000,2,11391.0,27975.0,1.0,681300.0,681300.0,93721.0,47985173.0,872.0,93457.0,47850116.0,1017.0,11941.0,6113998.0,27894.0,60.0
